Region,ISO_Week,Date,Day,ML_Weekly,LSTM_Weekly,Hybrid_Weekly,Hybrid_Daily
East of England,2025-W21,2025-05-19,Monday,52223,57326,53754,9406
East of England,2025-W21,2025-05-20,Tuesday,52223,57326,53754,8869
East of England,2025-W21,2025-05-21,Wednesday,52223,57326,53754,8331
East of England,2025-W21,2025-05-22,Thursday,52223,57326,53754,7794
East of England,2025-W21,2025-05-23,Friday,52223,57326,53754,7256
East of England,2025-W21,2025-05-24,Saturday,52223,57326,53754,5912
East of England,2025-W21,2025-05-25,Sunday,52223,57326,53754,6186
London,2025-W21,2025-05-19,Monday,92895,97749,94351,16511
London,2025-W21,2025-05-20,Tuesday,92895,97749,94351,15567
London,2025-W21,2025-05-21,Wednesday,92895,97749,94351,14624
London,2025-W21,2025-05-22,Thursday,92895,97749,94351,13680
London,2025-W21,2025-05-23,Friday,92895,97749,94351,12737
London,2025-W21,2025-05-24,Saturday,92895,97749,94351,10378
London,2025-W21,2025-05-25,Sunday,92895,97749,94351,10854
Midlands,2025-W21,2025-05-19,Monday,92917,99795,94980,16621
Midlands,2025-W21,2025-05-20,Tuesday,92917,99795,94980,15671
Midlands,2025-W21,2025-05-21,Wednesday,92917,99795,94980,14721
Midlands,2025-W21,2025-05-22,Thursday,92917,99795,94980,13772
Midlands,2025-W21,2025-05-23,Friday,92917,99795,94980,12822
Midlands,2025-W21,2025-05-24,Saturday,92917,99795,94980,10447
Midlands,2025-W21,2025-05-25,Sunday,92917,99795,94980,10926
North East and Yorkshire,2025-W21,2025-05-19,Monday,74971,83987,77676,13593
North East and Yorkshire,2025-W21,2025-05-20,Tuesday,74971,83987,77676,12816
North East and Yorkshire,2025-W21,2025-05-21,Wednesday,74971,83987,77676,12039
North East and Yorkshire,2025-W21,2025-05-22,Thursday,74971,83987,77676,11263
North East and Yorkshire,2025-W21,2025-05-23,Friday,74971,83987,77676,10486
North East and Yorkshire,2025-W21,2025-05-24,Saturday,74971,83987,77676,8544
North East and Yorkshire,2025-W21,2025-05-25,Sunday,74971,83987,77676,8935
North West,2025-W21,2025-05-19,Monday,69469,76185,71484,12509
North West,2025-W21,2025-05-20,Tuesday,69469,76185,71484,11794
North West,2025-W21,2025-05-21,Wednesday,69469,76185,71484,11080
North West,2025-W21,2025-05-22,Thursday,69469,76185,71484,10365
North West,2025-W21,2025-05-23,Friday,69469,76185,71484,9650
North West,2025-W21,2025-05-24,Saturday,69469,76185,71484,7863
North West,2025-W21,2025-05-25,Sunday,69469,76185,71484,8223
South East,2025-W21,2025-05-19,Monday,80258,83221,81147,14200
South East,2025-W21,2025-05-20,Tuesday,80258,83221,81147,13389
South East,2025-W21,2025-05-21,Wednesday,80258,83221,81147,12577
South East,2025-W21,2025-05-22,Thursday,80258,83221,81147,11766
South East,2025-W21,2025-05-23,Friday,80258,83221,81147,10954
South East,2025-W21,2025-05-24,Saturday,80258,83221,81147,8926
South East,2025-W21,2025-05-25,Sunday,80258,83221,81147,9335
South West,2025-W21,2025-05-19,Monday,44948,49258,46241,8092
South West,2025-W21,2025-05-20,Tuesday,44948,49258,46241,7629
South West,2025-W21,2025-05-21,Wednesday,44948,49258,46241,7167
South West,2025-W21,2025-05-22,Thursday,44948,49258,46241,6704
South West,2025-W21,2025-05-23,Friday,44948,49258,46241,6242
South West,2025-W21,2025-05-24,Saturday,44948,49258,46241,5086
South West,2025-W21,2025-05-25,Sunday,44948,49258,46241,5321
