Region,ISO_Week,Date,Day,ML_Weekly,LSTM_Weekly,Hybrid_Weekly,Hybrid_Daily
East of England,2025-W22,2025-05-26,Monday,54049,55997,54634,9560
East of England,2025-W22,2025-05-27,Tuesday,54049,55997,54634,9014
East of England,2025-W22,2025-05-28,Wednesday,54049,55997,54634,8468
East of England,2025-W22,2025-05-29,Thursday,54049,55997,54634,7921
East of England,2025-W22,2025-05-30,Friday,54049,55997,54634,7375
East of England,2025-W22,2025-05-31,Saturday,54049,55997,54634,6009
East of England,2025-W22,2025-06-01,Sunday,54049,55997,54634,6287
London,2025-W22,2025-05-26,Monday,94635,95518,94900,16607
London,2025-W22,2025-05-27,Tuesday,94635,95518,94900,15658
London,2025-W22,2025-05-28,Wednesday,94635,95518,94900,14709
London,2025-W22,2025-05-29,Thursday,94635,95518,94900,13760
London,2025-W22,2025-05-30,Friday,94635,95518,94900,12811
London,2025-W22,2025-05-31,Saturday,94635,95518,94900,10439
London,2025-W22,2025-06-01,Sunday,94635,95518,94900,10916
Midlands,2025-W22,2025-05-26,Monday,96263,98919,97060,16985
Midlands,2025-W22,2025-05-27,Tuesday,96263,98919,97060,16014
Midlands,2025-W22,2025-05-28,Wednesday,96263,98919,97060,15044
Midlands,2025-W22,2025-05-29,Thursday,96263,98919,97060,14073
Midlands,2025-W22,2025-05-30,Friday,96263,98919,97060,13103
Midlands,2025-W22,2025-05-31,Saturday,96263,98919,97060,10676
Midlands,2025-W22,2025-06-01,Sunday,96263,98919,97060,11165
North East and Yorkshire,2025-W22,2025-05-26,Monday,80804,82302,81253,14219
North East and Yorkshire,2025-W22,2025-05-27,Tuesday,80804,82302,81253,13406
North East and Yorkshire,2025-W22,2025-05-28,Wednesday,80804,82302,81253,12594
North East and Yorkshire,2025-W22,2025-05-29,Thursday,80804,82302,81253,11781
North East and Yorkshire,2025-W22,2025-05-30,Friday,80804,82302,81253,10969
North East and Yorkshire,2025-W22,2025-05-31,Saturday,80804,82302,81253,8937
North East and Yorkshire,2025-W22,2025-06-01,Sunday,80804,82302,81253,9347
North West,2025-W22,2025-05-26,Monday,75041,73732,74649,13063
North West,2025-W22,2025-05-27,Tuesday,75041,73732,74649,12317
North West,2025-W22,2025-05-28,Wednesday,75041,73732,74649,11570
North West,2025-W22,2025-05-29,Thursday,75041,73732,74649,10824
North West,2025-W22,2025-05-30,Friday,75041,73732,74649,10077
North West,2025-W22,2025-05-31,Saturday,75041,73732,74649,8211
North West,2025-W22,2025-06-01,Sunday,75041,73732,74649,8587
South East,2025-W22,2025-05-26,Monday,83641,80587,82725,14476
South East,2025-W22,2025-05-27,Tuesday,83641,80587,82725,13649
South East,2025-W22,2025-05-28,Wednesday,83641,80587,82725,12822
South East,2025-W22,2025-05-29,Thursday,83641,80587,82725,11995
South East,2025-W22,2025-05-30,Friday,83641,80587,82725,11167
South East,2025-W22,2025-05-31,Saturday,83641,80587,82725,9099
South East,2025-W22,2025-06-01,Sunday,83641,80587,82725,9517
South West,2025-W22,2025-05-26,Monday,45822,49019,46781,8186
South West,2025-W22,2025-05-27,Tuesday,45822,49019,46781,7718
South West,2025-W22,2025-05-28,Wednesday,45822,49019,46781,7251
South West,2025-W22,2025-05-29,Thursday,45822,49019,46781,6783
South West,2025-W22,2025-05-30,Friday,45822,49019,46781,6315
South West,2025-W22,2025-05-31,Saturday,45822,49019,46781,5145
South West,2025-W22,2025-06-01,Sunday,45822,49019,46781,5383
