Region,Date,Day,RandomForest,XGBoost
North East and Yorkshire,2025-05-19,Monday,13054,13185
North East and Yorkshire,2025-05-20,Tuesday,12308,12431
North East and Yorkshire,2025-05-21,Wednesday,11562,11678
North East and Yorkshire,2025-05-22,Thursday,10816,10924
North East and Yorkshire,2025-05-23,Friday,10070,10171
North East and Yorkshire,2025-05-24,Saturday,8205,8287
North East and Yorkshire,2025-05-25,Sunday,8584,8667
