Region,Date,Day,RandomForest,XGBoost
Midlands,2025-04-28,Monday,16024,16017
Midlands,2025-04-29,Tuesday,15108,15101
Midlands,2025-04-30,Wednesday,14192,14186
Midlands,2025-05-01,Thursday,13277,13271
Midlands,2025-05-02,Friday,12361,12356
Midlands,2025-05-03,Saturday,10072,10067
Midlands,2025-05-04,Sunday,10532,10528
