Region,Date,Day,RandomForest,XGBoost
South East,2025-05-26,Monday,14775,14498
South East,2025-05-27,Tuesday,13931,13670
South East,2025-05-28,Wednesday,13087,12841
South East,2025-05-29,Thursday,12242,12013
South East,2025-05-30,Friday,11398,11184
South East,2025-05-31,Saturday,9287,9113
South East,2025-06-01,Sunday,9713,9530
