Region,Date,Day,RandomForest,XGBoost
North East and Yorkshire,2025-05-26,Monday,14042,14239
North East and Yorkshire,2025-05-27,Tuesday,13239,13425
North East and Yorkshire,2025-05-28,Wednesday,12437,12611
North East and Yorkshire,2025-05-29,Thursday,11634,11798
North East and Yorkshire,2025-05-30,Friday,10832,10984
North East and Yorkshire,2025-05-31,Saturday,8826,8950
North East and Yorkshire,2025-06-01,Sunday,9230,9360
