Region,Date,Day,RandomForest,XGBoost
North East and Yorkshire,2025-04-28,Monday,12893,12944
North East and Yorkshire,2025-04-29,Tuesday,12156,12204
North East and Yorkshire,2025-04-30,Wednesday,11419,11465
North East and Yorkshire,2025-05-01,Thursday,10683,10725
North East and Yorkshire,2025-05-02,Friday,9946,9985
North East and Yorkshire,2025-05-03,Saturday,8104,8136
North East and Yorkshire,2025-05-04,Sunday,8475,8510
