Region,Date,Day,RandomForest,XGBoost
North West,2025-05-19,Monday,11960,12353
North West,2025-05-20,Tuesday,11276,11647
North West,2025-05-21,Wednesday,10593,10941
North West,2025-05-22,Thursday,9910,10235
North West,2025-05-23,Friday,9226,9529
North West,2025-05-24,Saturday,7517,7765
North West,2025-05-25,Sunday,7863,8122
