Region,Date,Day,RandomForest,XGBoost
East of England,2025-05-19,Monday,9172,9105
East of England,2025-05-20,Tuesday,8648,8585
East of England,2025-05-21,Wednesday,8124,8065
East of England,2025-05-22,Thursday,7599,7544
East of England,2025-05-23,Friday,7075,7024
East of England,2025-05-24,Saturday,5765,5723
East of England,2025-05-25,Sunday,6030,5987
