Region,Date,Day,RandomForest,XGBoost
South West,2025-05-19,Monday,7827,7904
South West,2025-05-20,Tuesday,7379,7453
South West,2025-05-21,Wednesday,6932,7001
South West,2025-05-22,Thursday,6485,6549
South West,2025-05-23,Friday,6038,6098
South West,2025-05-24,Saturday,4919,4968
South West,2025-05-25,Sunday,5146,5198
