Region,Date,Day,RandomForest,XGBoost
South East,2025-04-28,Monday,12832,12714
South East,2025-04-29,Tuesday,12098,11987
South East,2025-04-30,Wednesday,11365,11261
South East,2025-05-01,Thursday,10632,10534
South East,2025-05-02,Friday,9899,9808
South East,2025-05-03,Saturday,8065,7991
South East,2025-05-04,Sunday,8436,8358
