Region,Date,Day,RandomForest,XGBoost
South West,2025-04-28,Monday,7416,7524
South West,2025-04-29,Tuesday,6992,7094
South West,2025-04-30,Wednesday,6568,6664
South West,2025-05-01,Thursday,6145,6234
South West,2025-05-02,Friday,5721,5804
South West,2025-05-03,Saturday,4661,4729
South West,2025-05-04,Sunday,4877,4946
