Region,Date,Day,RandomForest,XGBoost
Midlands,2025-05-26,Monday,16879,16812
Midlands,2025-05-27,Tuesday,15914,15851
Midlands,2025-05-28,Wednesday,14950,14891
Midlands,2025-05-29,Thursday,13985,13930
Midlands,2025-05-30,Friday,13021,12969
Midlands,2025-05-31,Saturday,10609,10567
Midlands,2025-06-01,Sunday,11096,11052
