Region,Date,Day,RandomForest,XGBoost
South East,2025-05-19,Monday,14245,13845
South East,2025-05-20,Tuesday,13431,13053
South East,2025-05-21,Wednesday,12617,12262
South East,2025-05-22,Thursday,11803,11471
South East,2025-05-23,Friday,10989,10680
South East,2025-05-24,Saturday,8954,8702
South East,2025-05-25,Sunday,9362,9102
