Month,Actual,Predicted
2024-11,344765,347149.005
2024-12,348271,349173.82
2025-01,321947,329940.01
2025-02,307937,306537.63
2025-03,354778,346442.005
2025-04,343888,339879.105
2025-05,354798,349172.27
