Month,Actual,Predicted
2024-11,232709,230460.77
2024-12,238929,237014.23
2025-01,219684,221989.52
2025-02,206888,213710.4
2025-03,237662,233685.53
2025-04,222688,221913.03
2025-05,233213,233712.77
