Month,Actual,Predicted
2024-11,186534,184844.63
2024-12,188893,184407.31
2025-01,178441,176565.575
2025-02,169319,165051.06
2025-03,197614,190322.07
2025-04,191720,190014.805
2025-05,206594,192544.415
