Month,Actual,Predicted
2024-11,186534,188828.16
2024-12,188893,190835.88
2025-01,178441,178944.06
2025-02,169319,164902.9
2025-03,197614,194235.38
2025-04,191720,192610.27
2025-05,206594,201535.11
