Month,Actual,Predicted
2024-11,232709,231104.285
2024-12,238929,232931.93
2025-01,219684,222696.1
2025-02,206888,218048.075
2025-03,237662,230857.36
2025-04,222688,222204.3
2025-05,233213,230043.805
