Month,Actual,Predicted
2024-11,344765,345789.3
2024-12,348271,349534.72
2025-01,321947,320818.88
2025-02,307937,306974.22
2025-03,354778,349796.0
2025-04,343888,336050.1
2025-05,354798,348510.56
