Month,Actual,Predicted
2024-11,312881,315817.065
2024-12,313618,314623.39
2025-01,298672,299015.2
2025-02,283307,276533.95
2025-03,322953,314440.14
2025-04,308912,311368.005
2025-05,324822,319197.945
