Month,Actual,Predicted
2024-11,335182,339001.825
2024-12,339419,337731.645
2025-01,326659,335461.85
2025-02,305898,316290.775
2025-03,350326,340843.435
2025-04,338887,337285.94
2025-05,353404,340006.08
