Month,Actual,Predicted
2024-11,404936,401364.585
2024-12,409556,411789.6
2025-01,398191,405480.21
2025-02,368126,386194.865
2025-03,414054,409321.99
2025-04,398660,402003.36
2025-05,415478,411591.64
