Month,Actual,Predicted
2024-11,417571,418141.66
2024-12,419766,419158.62
2025-01,389706,390039.5
2025-02,366988,363096.47
2025-03,422273,417501.72
2025-04,403417,406605.25
2025-05,419346,411967.1
