Month,Region,Type,Total Attendances,Admitted Attendances,Delays >12hrs (count),12hr %
2024-02,Midlands,T1,469705.0,139405.0,61900.0,3.9898403163135514
2024-02,North East and Yorkshire,T1,469300.0,127675.0,36710.0,1.9349125507511236
2024-02,North West,T1,400495.0,91070.0,59930.0,3.2789097424739913
2024-02,South East,T1,390585.0,73520.0,45520.0,2.7267843601733457
2024-02,South West,T1,233485.0,44370.0,21395.0,2.078118889732072
2024-03,East of England,T1,332485.0,83640.0,28190.0,1.6380536953441147
2024-03,London,T1,438765.0,91880.0,49005.0,2.367860202582895
2024-03,Midlands,T1,506325.0,157940.0,58610.0,3.4903271460622145
2024-03,North East and Yorkshire,T1,503540.0,139255.0,33910.0,1.6271023872206607
2024-03,North West,T1,431135.0,98120.0,61555.0,3.173150051847177
2024-03,South East,T1,429780.0,86460.0,40365.0,2.2012754096291807
2024-03,South West,T1,258230.0,48990.0,21600.0,1.9221451757869692
2024-04,East of England,T1,309150.0,78980.0,28700.0,1.8405481109563302
2024-04,London,T1,416325.0,87620.0,46525.0,2.3159209452194105
2024-04,Midlands,T1,513880.0,156890.0,61720.0,3.702184341274764
2024-04,North East and Yorkshire,T1,449955.0,129450.0,31325.0,1.7053440835747475
2024-04,North West,T1,387130.0,93245.0,53735.0,3.091119208664578
2024-04,South East,T1,399540.0,81285.0,36050.0,2.0745910477120506
2024-04,South West,T1,244275.0,47615.0,19255.0,1.7534400515699364
2024-05,East of England,T1,262620.0,65130.0,23430.0,1.527691045250306
2024-05,London,T1,466400.0,99560.0,51330.0,2.2903915815838145
2024-05,Midlands,T1,552920.0,162600.0,65710.0,3.7360080109152825
2024-05,North East and Yorkshire,T1,488355.0,132175.0,33810.0,1.7257030394617376
2024-05,North West,T1,426550.0,94440.0,58265.0,3.0742139325319706
2024-05,South East,T1,427675.0,85070.0,38115.0,2.055927597878745
2024-05,South West,T1,264170.0,53450.0,19230.0,1.6267725943268965
2024-06,East of England,T1,321940.0,80245.0,26320.0,1.571324090518827
2024-06,London,T1,446920.0,97335.0,45135.0,2.1365056100024358
2024-06,Midlands,T1,549630.0,155475.0,62195.0,3.6014446024028586
2024-06,North East and Yorkshire,T1,503385.0,139300.0,31890.0,1.5607159986552759
2024-06,North West,T1,392255.0,87965.0,50635.0,2.87624984730482
2024-06,South East,T1,422135.0,67305.0,34790.0,1.8886763139090352
2024-06,South West,T1,227285.0,50840.0,18640.0,1.7664088887893565
2024-07,East of England,T1,327740.0,82625.0,24510.0,1.4137103487901976
2024-07,London,T1,477555.0,109410.0,44675.0,2.1503619626995354
2024-07,Midlands,T1,522330.0,148190.0,55510.0,3.091896403788275
2024-07,North East and Yorkshire,T1,471190.0,127575.0,30510.0,1.605442742579948
2024-07,North West,T1,416630.0,95590.0,55950.0,3.035607888378714
2024-07,South East,T1,432220.0,77775.0,35460.0,1.8785988178947515
2024-07,South West,T1,258425.0,53280.0,16825.0,1.4928769165139533
2024-08,East of England,T1,305545.0,81270.0,20940.0,1.2841916134937614
2024-08,London,T1,430700.0,102160.0,40095.0,2.0462224701879568
2024-08,Midlands,T1,466220.0,140695.0,48350.0,2.8822589426854894
2024-08,North East and Yorkshire,T1,439520.0,127780.0,24885.0,1.3976986806363423
2024-08,North West,T1,382135.0,91790.0,48405.0,2.858776168777728
2024-08,South East,T1,395440.0,92290.0,31430.0,1.7969717867598294
2024-08,South West,T1,250020.0,52160.0,13690.0,1.2487122255921665
2024-09,East of England,T1,312685.0,81050.0,26770.0,1.6044029845525531
2024-09,London,T1,438760.0,104755.0,45350.0,2.2782650800534583
2024-09,Midlands,T1,506230.0,149155.0,59105.0,3.4059286727599805
2024-09,North East and Yorkshire,T1,453875.0,128830.0,31475.0,1.7399552784984291
2024-09,North West,T1,393575.0,90425.0,53435.0,3.0850385272220704
2024-09,South East,T1,406815.0,93240.0,39475.0,2.244312709538774
