Month,Region,Total_Attendances,Type1_Attendances,Type2_Attendances,Other_Attendances,Over_4hr_Waits,Over_12hr_Waits,Emergency_Admissions
2023-07,NHS ENGLAND SOUTH EAST ,314606,200345,9033,105228,72673,2411,67738
2023-07,NHS ENGLAND SOUTH WEST ,186098,118630,2818,64650,51453,1574,36060
2023-08,NHS ENGLAND EAST OF ENGLAND ,206032,144300,0,61732,63606,2384,41232
2023-08,NHS ENGLAND LONDON,361032,208161,14303,138568,92145,5048,53728
2023-08,NHS ENGLAND MIDLANDS ,375127,237634,7847,129646,112739,6977,72434
2023-08,NHS ENGLAND NORTH EAST AND YORKSHIRE ,318344,212846,4847,100651,85393,2004,66794
2023-08,NHS ENGLAND NORTH WEST ,293676,185081,4657,103938,82240,6830,57138
2023-08,NHS ENGLAND SOUTH EAST ,303830,192524,8889,102417,73658,2714,62821
2023-08,NHS ENGLAND SOUTH WEST ,184259,117659,2726,63874,52449,1753,35695
2023-09,NHS ENGLAND EAST OF ENGLAND ,211240,145155,0,66085,65157,2203,41771
2023-09,NHS ENGLAND LONDON,378056,219634,14218,144204,105399,5913,53410
2023-09,NHS ENGLAND MIDLANDS ,386087,251865,7464,126758,120547,8344,73249
2023-09,NHS ENGLAND NORTH EAST AND YORKSHIRE ,325553,217764,4486,103303,90681,2819,65958
2023-09,NHS ENGLAND NORTH WEST ,305145,192625,4706,107814,90497,7433,56517
2023-09,NHS ENGLAND SOUTH EAST ,314584,200483,8576,105525,80136,3044,62878
2023-09,NHS ENGLAND SOUTH WEST ,183171,117204,2685,63282,54660,2472,35148
2023-10,NHS ENGLAND EAST OF ENGLAND ,215274,149125,0,66149,69142,3615,43679
2023-10,NHS ENGLAND LONDON,381566,222148,14437,144981,108762,7646,54563
2023-10,NHS ENGLAND MIDLANDS ,402287,263120,7939,131228,131455,11202,76302
2023-10,NHS ENGLAND NORTH EAST AND YORKSHIRE ,338272,227212,4824,106236,101088,4341,70623
2023-10,NHS ENGLAND NORTH WEST ,315263,201480,5028,108755,98467,9467,60212
2023-10,NHS ENGLAND SOUTH EAST ,316884,204406,9012,103466,85737,3976,65597
2023-10,NHS ENGLAND SOUTH WEST ,183265,118055,2936,62274,56730,3287,36365
2023-11,NHS ENGLAND EAST OF ENGLAND ,213004,148254,0,64750,68837,2671,42763
2023-11,NHS ENGLAND LONDON,383128,224659,13665,144804,113674,8346,54581
2023-11,NHS ENGLAND MIDLANDS ,387377,251848,7452,128077,127744,10381,75480
2023-11,NHS ENGLAND NORTH EAST AND YORKSHIRE ,327862,222234,4479,101149,97511,3984,69964
2023-11,NHS ENGLAND NORTH WEST ,300644,192794,4678,103172,95856,8925,58230
2023-11,NHS ENGLAND SOUTH EAST ,309774,203340,8888,97546,87908,4837,64946
2023-11,NHS ENGLAND SOUTH WEST ,173961,113988,2637,57336,53481,3359,36562
2023-12,NHS ENGLAND EAST OF ENGLAND ,215758,148713,0,67045,70770,2809,45808
2023-12,NHS ENGLAND LONDON,389117,225252,12548,151317,114157,7979,56404
2023-12,NHS ENGLAND MIDLANDS ,390185,249766,6809,133610,128423,10857,76639
2023-12,NHS ENGLAND NORTH EAST AND YORKSHIRE ,334235,225316,3880,105039,103656,4373,71485
2023-12,NHS ENGLAND NORTH WEST ,300580,192357,4473,103750,97704,9652,59306
2023-12,NHS ENGLAND SOUTH EAST ,305666,199789,7646,98231,88753,4719,65166
2023-12,NHS ENGLAND SOUTH WEST ,174417,114589,2340,57488,53773,3469,37516
2024-01,NHS ENGLAND EAST OF ENGLAND ,220483,148680,0,71803,70328,3942,46075
2024-01,NHS ENGLAND LONDON,394257,226402,13984,153871,107140,9499,55110
2024-01,NHS ENGLAND MIDLANDS ,394612,251728,7563,135321,127859,13180,77238
2024-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,336628,226246,4502,105880,101687,5521,70278
2024-01,NHS ENGLAND NORTH WEST ,309952,196863,4792,108297,101774,11999,57988
2024-01,NHS ENGLAND SOUTH EAST ,318609,202323,8682,107604,87744,5965,65161
2024-01,NHS ENGLAND SOUTH WEST ,178659,116731,2679,59249,55538,4206,37318
2024-02,NHS ENGLAND EAST OF ENGLAND ,215490,142825,0,72665,65695,3279,43747
2024-02,NHS ENGLAND LONDON,379564,218801,14168,146595,101593,7807,52666
2024-02,NHS ENGLAND MIDLANDS ,384579,246062,7637,130880,121957,10298,73644
2024-02,NHS ENGLAND NORTH EAST AND YORKSHIRE ,323367,217069,4569,101729,95315,4279,65528
2024-02,NHS ENGLAND NORTH WEST ,298370,188485,4742,105143,96726,10769,55361
2024-02,NHS ENGLAND SOUTH EAST ,309192,194180,9463,105549,82770,4765,61862
2024-02,NHS ENGLAND SOUTH WEST ,173011,111918,2745,58348,53060,3223,35020
2024-03,NHS ENGLAND EAST OF ENGLAND ,238630,154806,0,83824,59450,2913,48738
2024-03,NHS ENGLAND LONDON,414841,238883,14507,161451,100563,8716,58759
2024-03,NHS ENGLAND MIDLANDS ,419143,265420,9380,144343,118320,10041,79957
2024-03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,350992,231556,6171,113265,92399,3700,72205
2024-03,NHS ENGLAND NORTH WEST ,324210,203269,4860,116081,95391,9943,58806
2024-03,NHS ENGLAND SOUTH EAST ,347793,213956,10212,123625,80254,4478,68803
2024-03,NHS ENGLAND SOUTH WEST ,194094,123789,3219,67086,53265,3181,38886
2024-04,NHS ENGLAND EAST OF ENGLAND ,221055,144588,0,76467,58076,3215,46114
2024-04,NHS ENGLAND LONDON,387108,220096,14941,152071,95788,9245,55129
2024-04,NHS ENGLAND MIDLANDS ,405372,256096,9583,139693,110333,9415,76493
2024-04,NHS ENGLAND NORTH EAST AND YORKSHIRE ,334670,217888,6615,110167,87209,3512,68424
2024-04,NHS ENGLAND NORTH WEST ,300751,186805,6122,107824,85700,9205,56806
2024-04,NHS ENGLAND SOUTH EAST ,328911,199198,10217,119496,76228,4463,64269
2024-04,NHS ENGLAND SOUTH WEST ,185282,116388,3326,65568,49734,3023,36699
2024-05,NHS ENGLAND EAST OF ENGLAND ,238518,156905,0,81613,63828,3152,48145
2024-05,NHS ENGLAND LONDON,417242,236274,15056,165912,105992,8736,56485
2024-05,NHS ENGLAND MIDLANDS ,433436,275485,9478,148473,120956,9258,79518
2024-05,NHS ENGLAND NORTH EAST AND YORKSHIRE ,360841,226897,6768,127176,96633,3815,71583
2024-05,NHS ENGLAND NORTH WEST ,327997,203863,6438,117696,96222,10344,58866
2024-05,NHS ENGLAND SOUTH EAST ,351177,214177,9994,127006,81018,4432,67210
2024-05,NHS ENGLAND SOUTH WEST ,201799,125577,2868,73354,54636,2818,38397
2024-06,NHS ENGLAND EAST OF ENGLAND ,230403,152613,0,77790,60871,2876,46669
2024-06,NHS ENGLAND LONDON,397936,226495,14581,156860,95615,7239,54492
2024-06,NHS ENGLAND MIDLANDS ,408711,261851,9144,137716,114773,9246,75617
2024-06,NHS ENGLAND NORTH EAST AND YORKSHIRE ,342834,216623,6265,119946,88090,3115,68657
2024-06,NHS ENGLAND NORTH WEST ,305826,191174,6277,108375,85710,8727,56574
2024-06,NHS ENGLAND SOUTH EAST ,335298,204961,9807,120530,76326,4242,63367
2024-06,NHS ENGLAND SOUTH WEST ,194632,121200,2633,70799,53129,2661,36679
2024-07,NHS ENGLAND EAST OF ENGLAND ,234214,156650,0,77564,60509,2478,47255
2024-07,NHS ENGLAND LONDON,403842,231237,15128,157477,93312,6939,56342
2024-07,NHS ENGLAND MIDLANDS ,410028,263520,8772,137736,112166,9243,77843
2024-07,NHS ENGLAND NORTH EAST AND YORKSHIRE ,346314,219237,6988,120089,89483,3383,69514
2024-07,NHS ENGLAND NORTH WEST ,316098,196034,6435,113629,85557,8447,58090
2024-07,NHS ENGLAND SOUTH EAST ,342321,209397,10613,122311,75403,4274,64572
2024-07,NHS ENGLAND SOUTH WEST ,198513,123149,2852,72512,51795,2042,38166
2024-08,NHS ENGLAND EAST OF ENGLAND ,218518,147101,0,71417,54715,1720,46304
2024-08,NHS ENGLAND LONDON,364815,210124,14133,140558,80753,6279,53659
2024-08,NHS ENGLAND MIDLANDS ,377525,242224,8191,127110,98743,6749,75102
2024-08,NHS ENGLAND NORTH EAST AND YORKSHIRE ,321051,203571,6505,110975,77562,2117,66060
2024-08,NHS ENGLAND NORTH WEST ,289539,179284,5945,104310,76470,6704,56081
2024-08,NHS ENGLAND SOUTH EAST ,322314,191011,10156,121147,67361,3512,62201
2024-08,NHS ENGLAND SOUTH WEST ,192463,119017,2801,70645,48843,1413,37108
2024-09,NHS ENGLAND EAST OF ENGLAND ,223525,150130,0,73395,61104,2702,45939
2024-09,NHS ENGLAND LONDON,379925,221144,14404,144377,92658,7539,56228
2024-09,NHS ENGLAND MIDLANDS ,390201,250961,8210,131030,108686,8995,75079
2024-09,NHS ENGLAND NORTH EAST AND YORKSHIRE ,329698,210049,6624,113025,86928,3310,66234
2024-09,NHS ENGLAND NORTH WEST ,301268,188103,6133,107032,85709,8953,56847
2024-09,NHS ENGLAND SOUTH EAST ,328039,197249,9874,120916,76566,4881,63043
2024-09,NHS ENGLAND SOUTH WEST ,188321,118287,2701,67333,51428,2500,36036
2024-10,NHS ENGLAND EAST OF ENGLAND ,235286,158769,0,76517,68690,3712,48281
2024-10,NHS ENGLAND LONDON,406246,234280,14396,157570,101540,9676,57565
2024-10,NHS ENGLAND MIDLANDS ,418640,267762,8226,142652,121857,11522,79101
2024-10,NHS ENGLAND NORTH EAST AND YORKSHIRE ,352687,225843,6723,120121,98781,4348,71834
2024-10,NHS ENGLAND NORTH WEST ,323042,201193,6228,115621,94193,10932,60225
2024-10,NHS ENGLAND SOUTH EAST ,349954,211328,10526,128100,86440,5578,66207
2024-10,NHS ENGLAND SOUTH WEST ,194537,123142,2918,68477,55491,3848,38835
2024-11,NHS ENGLAND EAST OF ENGLAND ,232709,154219,0,78490,68712,3275,47219
2024-11,NHS ENGLAND LONDON,404936,232841,14194,157901,103776,8718,57138
2024-11,NHS ENGLAND MIDLANDS ,417571,265684,8059,143828,129373,11033,77369
2024-11,NHS ENGLAND NORTH EAST AND YORKSHIRE ,344765,221217,6093,117455,97772,4300,70187
2024-11,NHS ENGLAND NORTH WEST ,312881,196003,5839,111039,93795,9999,58434
2024-11,NHS ENGLAND SOUTH EAST ,335182,206882,9687,118613,86581,4940,65423
2024-11,NHS ENGLAND SOUTH WEST ,186534,120012,2784,63738,54401,3526,38339
2024-12,NHS ENGLAND EAST OF ENGLAND ,238929,156623,0,82306,75366,4687,47468
2024-12,NHS ENGLAND LONDON,409556,234983,12851,161722,105767,10083,56739
2024-12,NHS ENGLAND MIDLANDS ,419766,262550,7731,149485,133729,12564,77664
2024-12,NHS ENGLAND NORTH EAST AND YORKSHIRE ,348271,223559,5671,119041,104915,5774,71834
2024-12,NHS ENGLAND NORTH WEST ,313618,196572,5667,111379,96211,11750,58708
2024-12,NHS ENGLAND SOUTH EAST ,339419,211392,8993,119034,92148,5221,66182
2024-12,NHS ENGLAND SOUTH WEST ,188893,121851,2558,64484,59099,4128,38472
2025-01,NHS ENGLAND EAST OF ENGLAND ,219684,145218,0,74466,64986,5109,45989
2025-01,NHS ENGLAND LONDON,398191,226276,14413,157502,98884,11121,56215
2025-01,NHS ENGLAND MIDLANDS ,389706,249584,8820,131302,114231,13187,76095
2025-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,321947,206856,6460,108631,92810,6245,68782
2025-01,NHS ENGLAND NORTH WEST ,298672,186303,6079,106290,88647,13361,56810
2025-01,NHS ENGLAND SOUTH EAST ,326659,200472,10151,116036,79774,7120,65562
2025-01,NHS ENGLAND SOUTH WEST ,178441,111961,2862,63618,50494,5386,36775
2025-02,NHS ENGLAND EAST OF ENGLAND ,206888,136101,0,70787,59790,4218,41999
2025-02,NHS ENGLAND LONDON,368126,208163,12991,146972,90403,9188,50397
2025-02,NHS ENGLAND MIDLANDS ,366988,234792,8294,123902,106068,11058,68761
2025-02,NHS ENGLAND NORTH EAST AND YORKSHIRE ,307937,195341,5972,106624,85893,3706,62056
2025-02,NHS ENGLAND NORTH WEST ,283307,174375,5769,103163,80478,9739,51872
2025-02,NHS ENGLAND SOUTH EAST ,305898,186615,9524,109759,74170,5963,59035
2025-02,NHS ENGLAND SOUTH WEST ,169319,106544,2521,60254,48874,3751,33458
2025-03,NHS ENGLAND EAST OF ENGLAND ,237662,156695,0,80967,63585,3871,45990
2025-03,NHS ENGLAND LONDON,414054,234246,14764,165044,93016,9251,56478
2025-03,NHS ENGLAND MIDLANDS ,422273,267799,9300,145174,118147,10994,77118
2025-03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,354778,223129,6834,124815,87017,3376,70238
2025-03,NHS ENGLAND NORTH WEST ,322953,199093,6456,117404,88372,9787,58090
2025-03,NHS ENGLAND SOUTH EAST ,350326,213014,10314,126998,83205,5700,64871
2025-03,NHS ENGLAND SOUTH WEST ,197614,124259,2978,70377,55496,3787,37504
2025-04,NHS ENGLAND EAST OF ENGLAND ,222688,147659,0,75029,58370,3294,43430
2025-04,NHS ENGLAND LONDON,398660,225428,14662,158570,91855,9010,54771
2025-04,NHS ENGLAND MIDLANDS ,403417,256576,8785,138056,114316,11200,74455
2025-04,NHS ENGLAND NORTH EAST AND YORKSHIRE ,343888,215664,6305,121919,88141,3441,67521
2025-04,NHS ENGLAND NORTH WEST ,308912,191056,6065,111791,86563,9543,56077
2025-04,NHS ENGLAND SOUTH EAST ,338887,197554,10418,130915,78076,4966,63361
2025-04,NHS ENGLAND SOUTH WEST ,191720,120708,2877,68135,53744,3427,37295
2025-05,NHS ENGLAND EAST OF ENGLAND ,233213,155099,0,78114,60082,2780,45994
2025-05,NHS ENGLAND LONDON,415478,234446,14738,166294,94889,9025,56675
2025-05,NHS ENGLAND MIDLANDS ,419346,268505,9179,141662,114736,10779,75765
2025-05,NHS ENGLAND NORTH EAST AND YORKSHIRE ,354798,222023,6421,126354,85635,2938,69469
2025-05,NHS ENGLAND NORTH WEST ,324822,201635,6457,116730,89351,9339,58467
2025-05,NHS ENGLAND SOUTH EAST ,353404,209437,10563,133404,80847,4989,65122
2025-05,NHS ENGLAND SOUTH WEST ,206594,127717,3012,75865,55627,3041,38485
