Region,Actual,Predicted
London,404936.0,398404.67258656025
London,409556.0,396658.6170605421
London,398191.0,398451.87023180723
London,368126.0,401836.2725172639
London,414054.0,403651.34880912304
London,398660.0,406259.8293555975
London,415478.0,406848.6075415611
