Region,MAE,RMSE,MAPE (%),Accuracy (%)
East of England,9261.033270631518,10419.757509935096,4.130462000722489,95.86953799927751
London,11433.103729554585,15051.768871700411,2.925790473288799,97.0742095267112
Midlands,14919.186379807352,17361.32687763964,3.7146231093666082,96.28537689063339
North East and Yorkshire,13644.588501513013,15166.506921294333,4.086972374530971,95.91302762546903
North West,10465.575849260602,13454.793211216698,3.420717100355429,96.57928289964457
South East,8584.0654065098,11623.918356206843,2.6334119475749116,97.36658805242509
South West,6369.740542931216,8253.585772477521,3.394543252118032,96.60545674788197
