Region,Date,Day,Hybrid_Weekly,Hybrid_Daily
East of England,2025-05-26,Monday,54634,9560
East of England,2025-05-27,Tuesday,54634,9014
East of England,2025-05-28,Wednesday,54634,8468
East of England,2025-05-29,Thursday,54634,7921
East of England,2025-05-30,Friday,54634,7375
East of England,2025-05-31,Saturday,54634,6009
East of England,2025-06-01,Sunday,54634,6287
London,2025-05-26,Monday,94900,16607
London,2025-05-27,Tuesday,94900,15658
London,2025-05-28,Wednesday,94900,14709
London,2025-05-29,Thursday,94900,13760
London,2025-05-30,Friday,94900,12811
London,2025-05-31,Saturday,94900,10439
London,2025-06-01,Sunday,94900,10916
Midlands,2025-05-26,Monday,97060,16985
Midlands,2025-05-27,Tuesday,97060,16014
Midlands,2025-05-28,Wednesday,97060,15044
Midlands,2025-05-29,Thursday,97060,14073
Midlands,2025-05-30,Friday,97060,13103
Midlands,2025-05-31,Saturday,97060,10676
Midlands,2025-06-01,Sunday,97060,11165
North East and Yorkshire,2025-05-26,Monday,81253,14219
North East and Yorkshire,2025-05-27,Tuesday,81253,13406
North East and Yorkshire,2025-05-28,Wednesday,81253,12594
North East and Yorkshire,2025-05-29,Thursday,81253,11781
North East and Yorkshire,2025-05-30,Friday,81253,10969
North East and Yorkshire,2025-05-31,Saturday,81253,8937
North East and Yorkshire,2025-06-01,Sunday,81253,9347
North West,2025-05-26,Monday,74649,13063
North West,2025-05-27,Tuesday,74649,12317
North West,2025-05-28,Wednesday,74649,11570
North West,2025-05-29,Thursday,74649,10824
North West,2025-05-30,Friday,74649,10077
North West,2025-05-31,Saturday,74649,8211
North West,2025-06-01,Sunday,74649,8587
South East,2025-05-26,Monday,82725,14476
South East,2025-05-27,Tuesday,82725,13649
South East,2025-05-28,Wednesday,82725,12822
South East,2025-05-29,Thursday,82725,11995
South East,2025-05-30,Friday,82725,11167
South East,2025-05-31,Saturday,82725,9099
South East,2025-06-01,Sunday,82725,9517
South West,2025-05-26,Monday,46781,8186
South West,2025-05-27,Tuesday,46781,7718
South West,2025-05-28,Wednesday,46781,7251
South West,2025-05-29,Thursday,46781,6783
South West,2025-05-30,Friday,46781,6315
South West,2025-05-31,Saturday,46781,5145
South West,2025-06-01,Sunday,46781,5383
