Month,Region,age_0_4_years,age_0_4_years_delayed,age_15_24_years,age_15_24_years_delayed,age_25_44_years,age_25_44_years_delayed,age_45_64_years,age_45_64_years_delayed,age_5_14_years,age_5_14_years_delayed,age_65_79_years,age_65_79_years_delayed,age_80_years,age_80_years_delayed,age_null_unknown,age_null_unknown_delayed,age_total_attendances,age_total_attendances_delayed,chief_complaint_airway_breathing,chief_complaint_airway_breathing_delayed,chief_complaint_circulation_chest,chief_complaint_circulation_chest_delayed,chief_complaint_environmental,chief_complaint_environmental_delayed,chief_complaint_eye,chief_complaint_eye_delayed,chief_complaint_gastrointestinal,chief_complaint_gastrointestinal_delayed,chief_complaint_general_minor_admin,chief_complaint_general_minor_admin_delayed,chief_complaint_genitourinary,chief_complaint_genitourinary_delayed,chief_complaint_head_and_neck,chief_complaint_head_and_neck_delayed,chief_complaint_neurological,chief_complaint_neurological_delayed,chief_complaint_null_unknown,chief_complaint_null_unknown_delayed,chief_complaint_obgyn,chief_complaint_obgyn_delayed,chief_complaint_psychosocial_behaviour_change,chief_complaint_psychosocial_behaviour_change_delayed,chief_complaint_skin,chief_complaint_skin_delayed,chief_complaint_total_attendances,chief_complaint_total_attendances_delayed,chief_complaint_trauma_musculoskeletal,chief_complaint_trauma_musculoskeletal_delayed,ethnicity_any_asian_background,ethnicity_any_asian_background_delayed,ethnicity_any_black_background,ethnicity_any_black_background_delayed,ethnicity_any_mixed_background,ethnicity_any_mixed_background_delayed,ethnicity_any_other_ethnic_group,ethnicity_any_other_ethnic_group_delayed,ethnicity_any_white_background,ethnicity_any_white_background_delayed,ethnicity_not_stated,ethnicity_not_stated_delayed,ethnicity_null_unknown,ethnicity_null_unknown_delayed,ethnicity_total_attendances,ethnicity_total_attendances_delayed,gender_female,gender_female_delayed,gender_indeterminate,gender_indeterminate_delayed,gender_male,gender_male_delayed,gender_null_unknown,gender_null_unknown_delayed,gender_total_attendances,gender_total_attendances_delayed
2023-02,East of England,0.10755485088440649,0.06625324820230122,0.10525012409091088,0.052378252041833606,0.2206351534722642,0.14641009847946843,0.19277991659335972,0.19203716275656255,0.09822484937882955,0.03856513649023274,0.14723462084450017,0.23334196512706645,0.12821119587115817,0.2708039693014981,0.0,0.0,14146.052631578947,3676.3888888888887,0.08199137176596653,0.15475104088018143,0.09651198828691235,0.17882607782703885,0.0028070947839910496,0.0041156454070287235,0.016411317692440478,0.004032875681946146,0.11993188359208484,0.14055863942615848,0.075629243686112,0.1342391798467542,0.027369170708378816,0.03317240553510488,0.04246811855281101,0.023459910016249638,0.07786424830755177,0.09937704273696477,0.1307841923443441,0.08845639288900141,0.02563818695779547,0.01953198440234854,0.08907034634009427,0.021450901947954976,0.03666297211638125,0.019957276170020046,14021.42857142857,4615.384615384615,0.17682772136452893,0.07739075718548581,0.0443278056729248,0.038717710939524946,0.022978225502950464,0.020085533537411982,0.01855891741667233,0.011451336017919594,0.02180814143865146,0.016128625860626165,0.7919661525681791,0.839135306052336,0.048082584624224434,0.04644984219476169,0.05234166236674068,0.02850479193562464,13895.277777777777,3540.294117647059,0.5158418227882913,0.5216714884904778,0.00016467993292391579,0.0,0.48177116751559046,0.47738071765245127,0.0022416616629575893,0.0008740468892271444,14146.052631578947,3676.3888888888887
2023-02,London,0.11540428497710016,0.0824756105330395,0.1070660929061228,0.06527708427909774,0.2764873111766017,0.20185045555435557,0.21378487259417692,0.22216093842904455,0.08836563222033061,0.05324702703006333,0.1151186975940856,0.18694059134151564,0.08369629504098279,0.188102411668855,0.0,0.0,18073.958333333332,4003.0,0.07102780923839969,0.1350392108176198,0.12508036961436905,0.08821481896384004,0.00351668304414905,0.0025696985889460374,0.10987547119708718,0.06666442880238227,0.11346506404239023,0.15616203015638846,0.10577362190713119,0.13076737025976018,0.033908393139987975,0.03568647561283758,0.05541380803138337,0.029788375631937244,0.06965847087773006,0.07973165288961859,0.04580465303818514,0.08063133655253062,0.01576380308165683,0.01834842860695284,0.026200645857224987,0.02991033530149222,0.0461533163936567,0.0300766358587164,16240.0,4163.4375,0.17821216852242353,0.11668151956277224,0.14084946974386733,0.1278170225390113,0.12587817265015253,0.12447263239820597,0.032717777209515464,0.023891110143115752,0.11986040343560021,0.10985892923218092,0.4344747026960398,0.4668917940520614,0.11766308150449327,0.12119882587609762,0.0285307809002484,0.025512573082420813,18073.958333333332,4003.0,0.5170510110018925,0.5071249858896835,0.00016779488036616666,0.00031165601911938,0.4825722548328432,0.4921312915819132,0.00014752677338089167,2.339728591483e-05,18073.958333333332,4003.0
2023-02,Midlands,0.11507585960276956,0.08153474920358096,0.11068377324697865,0.059452376958023176,0.21619957202800602,0.1568879340150675,0.18931596139042442,0.19296110897913946,0.10507281961131748,0.05179841460385403,0.1458124622492653,0.2266113663719992,0.11795220309196328,0.23055954971441386,0.0,0.0,14450.15625,4271.5625,0.08778644342030421,0.18097246004132111,0.11765408786477413,0.1362192075471278,0.006846848363619124,0.006919251746665207,0.036926543526084106,0.0073173704364316175,0.10399212615984856,0.11573773756689697,0.09515139632604344,0.156935504092644,0.026820856398045427,0.033574948434226135,0.03754475626372634,0.03099308156764006,0.08448462614614419,0.08543478509713995,0.04317939774410564,0.07279180719457001,0.012080978188731759,0.017298688906167436,0.018991299781134275,0.014884973678702295,0.05535127359404831,0.030840791941798607,17477.41379310345,5823.103448275862,0.27317078694675084,0.10973485591852548,0.08024597621416515,0.06930865339162944,0.03392301892816947,0.02838748025105759,0.021919308828627436,0.01593396720870063,0.02377231702600463,0.018087905733231307,0.7496251722673009,0.7853298919416554,0.04902686360688414,0.04634012199573424,0.04163590840643518,0.036439133168058864,13304.333333333334,4038.6666666666665,0.5091773135000446,0.519339793294648,0.00011040797490674062,0.0,0.4906217361462595,0.4803600541375478,0.00012544622254856874,5.6973564266175e-05,14450.15625,4271.5625
2023-02,North East and Yorkshire,0.11245120814958433,0.08669371112527513,0.1156336104343089,0.06583127772525814,0.22395637053860304,0.16333690238084161,0.1940107561023853,0.1986753249733022,0.09644610407908175,0.053421037548784404,0.14513306449163443,0.22016700985976548,0.1122216422860011,0.21219069968486481,0.0,0.0,15804.807692307691,4566.458333333333,0.10011457016286256,0.1559451275672651,0.11797585439724483,0.13030040043377722,0.006466784093889904,0.006703188769283063,0.025901591604616987,0.007178802268814411,0.10582777942838335,0.11460006624800825,0.10616004989056604,0.14182435594012724,0.03453718755083696,0.036314469040511464,0.055371913238862744,0.034047741610413323,0.06728527702351206,0.09097981755422066,0.05602798435878716,0.0748897881903388,0.01615998616376803,0.018157617805024572,0.026092487602671903,0.02119854001441028,0.05882394962610297,0.032891281537223496,18490.5,6227.368421052632,0.22326289407663666,0.1357412134505086,0.06338076458673422,0.052212600189810984,0.01647451296797589,0.014578809962352352,0.015653984030956688,0.011438427668230012,0.030338968849176216,0.022679103467276047,0.7932921149237011,0.8313335231858631,0.052897448777293764,0.04164375952716723,0.02804104856665787,0.02647027440267427,15718.0,4463.260869565217,0.5125283626136204,0.5187469026624377,0.00013666884970299525,0.00012984654867204167,0.4870370800589272,0.48177634167321376,0.00019662573976120766,0.0,15804.807692307691,4566.458333333333
2023-02,North West,0.11453060195761733,0.08873517590509813,0.11486898729258473,0.06076742189692426,0.2415284902832723,0.17766841175630732,0.18416861675822305,0.19595943133716487,0.10225362520540547,0.05021326646929186,0.13823299253686824,0.21500856283413525,0.10440198093081053,0.20346763323839231,0.0,0.0,15297.391304347826,3784.75,0.08398232064179162,0.10614071279094074,0.09642212762214947,0.12800615744669705,0.008837061399354263,0.007353127777865818,0.02795861945364614,0.0043982219678088364,0.1068074338681103,0.1383694137552449,0.19058678261243447,0.2612358523840471,0.034555237633864096,0.030437559376998026,0.046396978433298826,0.02125738932922219,0.07215110842507279,0.09250498169715943,0.06113999918869632,0.09080517084094303,0.00930291043701939,0.008648966531517664,0.01627412330981544,0.012243520765092492,0.04794175427421114,0.02137719203910992,13156.818181818182,5235.909090909091,0.19765359298641585,0.07730020086211123,0.04902347823031573,0.024972694503795675,0.015405037112744728,0.008139361800662548,0.014086013238544132,0.007918753290036716,0.02516385532647947,0.019826213690550886,0.804189643407149,0.8486805367769676,0.06021152833074784,0.06271168283108568,0.03201614832062414,0.023669824485944447,15300.227272727272,3767.1052631578946,0.5311822343974256,0.543701987741865,6.621801951361019e-05,0.0,0.46865898546286117,0.4564139147006214,1.3698571682879856e-05,0.0,15297.391304347826,3784.75
2023-02,South East,0.11555270446160881,0.07110900537289433,0.10793182493963183,0.060641956244076346,0.216024089068466,0.15669307757257722,0.1919468560464,0.1921342885048983,0.09509194912832339,0.04205906062666477,0.14841074987798888,0.2284595002494108,0.12499755280932495,0.24850960717932094,0.0,0.0,15225.434782608696,3558.684210526316,0.10181232104248399,0.15697310794128191,0.11838130980456658,0.09384162562739574,0.005495188040506927,0.02342431663109991,0.053201975527202114,0.009769547059678838,0.11165026904972478,0.12242126813354827,0.09276296108992853,0.13190694609617593,0.02849574978788222,0.025798911167576433,0.03997929642824342,0.02603244161796525,0.07388345078666338,0.1127654178918876,0.059020473099253845,0.07204468072850094,0.012174748270148833,0.04815532213984544,0.019217855334519182,0.04374130231211369,0.05941491663117956,0.03525708355051034,18451.333333333332,4775.7692307692305,0.2247477259996617,0.0980701388876739,0.049700359486435905,0.0377272285628567,0.01894830317478645,0.013546824835006162,0.018433597487382988,0.012533206113663906,0.03166339025647776,0.025189324327383824,0.7429990858935053,0.772212932691625,0.10966095431535712,0.1225904487974704,0.028695375990828074,0.016510474929293674,15225.434782608696,3558.684210526316,0.5141156325664933,0.5224696061364795,0.004663023576608383,0.006142260889797126,0.4812057467351661,0.4717769228567443,6.415325489121738e-05,0.0,15225.434782608696,3558.684210526316
2023-02,South West,0.08657759730170182,0.04995836966287636,0.12413354904082659,0.06137493616407596,0.21727493003015463,0.14314525571446374,0.1949585745578027,0.18385702484172592,0.08153974869729741,0.03346644039277963,0.16191492761115947,0.25265074670206233,0.13368780587575213,0.27777433321215256,0.0,0.0,9745.238095238095,2155.294117647059,0.09114746375649935,0.1253321950029957,0.10810551725305494,0.13763983257882337,0.008972969405063067,0.009686651955534887,0.049781445416240654,0.00615515603408902,0.1389787888301356,0.1449568684922573,0.07922413547943358,0.10983215521546026,0.03265506900641648,0.04204488157671437,0.0446580435695683,0.030800929437961467,0.08223335807026048,0.11996805428932185,0.05904395640102026,0.08136221741820782,0.011183508219501596,0.01850737904647331,0.027427911234546555,0.029168428138934215,0.04150213241683786,0.020941654208723102,10823.055555555555,2854.0,0.22541579516197097,0.12293956176445422,0.015683045138099285,0.008003857016795011,0.010132488115194824,0.005257063030192341,0.013278308252377472,0.006807239022506913,0.01298120360782277,0.007931663518371582,0.8086452290942019,0.8276786894144135,0.07269158069352351,0.0815728559645408,0.06667728600337654,0.061587977456073535,9745.238095238095,2155.294117647059,0.5102108548025444,0.5224998757706946,7.073930119428571e-05,0.0,0.48952688119614507,0.4787468373996037,9.617038963445714e-05,0.0,9745.238095238095,2155.294117647059
2023-03,East of England,0.10803999118315676,0.067627144613604,0.1050343118373512,0.0516359623574994,0.21706927338704926,0.1461488334497808,0.1903622306901579,0.19404629149185793,0.10401870553870039,0.03902503613484095,0.14646004025368425,0.22922809621012322,0.12885347926920354,0.272055490413992,0.0,0.0,16195.78947368421,4222.5,0.08422529176101577,0.1435987753462729,0.10361116434914401,0.16730870136340953,0.0039012162628442,0.004014645412376478,0.01814079015511231,0.004959916444699728,0.12865224769033792,0.15136550638091603,0.08350709560922381,0.13715875422096369,0.02938655157462457,0.03414817202857186,0.0442943903756547,0.0256558618353471,0.08155043968002644,0.10529944256612557,0.08720674946000226,0.08113457717494411,0.01808646133951854,0.0190454209171686,0.0861441283243547,0.02140658691655985,0.041201021416022346,0.024593429148744978,17046.666666666668,5582.5,0.19013041150926932,0.08020449663201824,0.044335009460687115,0.0411227418872612,0.023463179034966915,0.019725744620784826,0.018597758388772295,0.012316467817605446,0.02251316248105796,0.016029724615696513,0.790841737689282,0.8370666341226027,0.04745792492127742,0.045836976132704786,0.052657696166454424,0.027793014621721283,15950.555555555555,4065.5882352941176,0.518421192510261,0.5267067734641946,0.0001353445909039421,0.0,0.478978690341566,0.47244771605282104,0.0023645254860918683,0.0005896242084087334,16195.78947368421,4222.5
2023-03,London,0.11376659395821066,0.07879598238174404,0.10519310494533797,0.06496636462883588,0.2737148516187001,0.20229550394401094,0.21225638169245983,0.23005098431474794,0.09300850287202762,0.04795104070959656,0.11862862459688926,0.1887976492170575,0.08346414956552911,0.18000083888009283,0.0,0.0,20197.5,4504.75,0.06980036617924482,0.14507370015534635,0.16629910604772538,0.09213478668243802,0.004162532675099879,0.003074083836718571,0.027262623817349257,0.006542540601260171,0.12188505427943863,0.16748133448285416,0.11862008172510707,0.13480830332980825,0.03484853152132169,0.036780472312362526,0.05593833998195454,0.032194702494339825,0.09404188772998302,0.09508134908661567,0.038563375263264206,0.07556667583834772,0.016091719054912627,0.019051140397983557,0.028832247760244765,0.03308403414794434,0.04712051393084286,0.02957035850481548,17446.428571428572,4848.928571428572,0.17651678942500956,0.12925439502811104,0.1450757539646297,0.13400266702327723,0.12441860373357945,0.11759970672941052,0.03376215904204762,0.024610908840015912,0.11626602218108241,0.11018126512615993,0.43943182166083705,0.46566438157707485,0.11360559353278837,0.12886908088537075,0.027503153408357132,0.02583533419469005,20197.5,4466.25,0.5188466104074015,0.5107143190109741,0.00016314689394601248,0.0,0.4808441474077445,0.4893012228851458,6.352951377014583e-05,0.0,20197.5,4466.25
2023-03,Midlands,0.10665324394263825,0.07868282163419907,0.11237045438708294,0.061694043142822376,0.21741277428217043,0.15886235048548497,0.1923999330480513,0.19394585693288513,0.10715295573399966,0.05040864093057838,0.1453355722104157,0.22276738013817557,0.11855315344716635,0.23368892794421683,0.0,0.0,16198.4375,4767.34375,0.08584603650015318,0.1839017662997327,0.12095804543617204,0.13707829909514394,0.006616976478106564,0.007409747345325804,0.03882516283580354,0.007029927858694847,0.10425808966299965,0.11804653923300693,0.09548506405310904,0.1589930337982215,0.02602765862510048,0.03333558484355905,0.03471928660951119,0.028739087256181666,0.08302700986794143,0.08232448211804906,0.040620327636588675,0.06754969427803953,0.011593690437896412,0.016502014904112038,0.02068547592000877,0.016939684494306575,0.054227441762390395,0.030428335482292755,18598.035714285714,6149.107142857143,0.2770279670385111,0.1115185950363338,0.07784118141029737,0.06465294855319587,0.03405165804337365,0.028710824378148727,0.02174086952300548,0.015068510903729727,0.02277896584985644,0.017769502550529576,0.7514526044042861,0.7899578492175556,0.05003329392727394,0.04737878840495394,0.04199143995849816,0.036035332166784076,14889.833333333334,4504.833333333333,0.5130647905613339,0.5231046036766519,0.00011017909251180815,7.80274656679125e-05,0.486629108059132,0.4769261938369258,0.00012988233326655,0.0,16198.4375,4767.34375
