Region,Actual,Predicted
East of England,232709.0,225552.69686758518
East of England,238929.0,226169.93975651264
East of England,219684.0,226003.85882914066
East of England,206888.0,225434.76677942276
East of England,237662.0,227439.03449821472
East of England,222688.0,229758.11573660374
East of England,233213.0,230460.837328434
