Region,Actual,Predicted
South West,186534.0,186492.55760902166
South West,188893.0,184126.50870394707
South West,178441.0,181609.562890172
South West,169319.0,183127.5645700097
South West,197614.0,186908.4759631157
South West,191720.0,191399.64518654346
South West,206594.0,194816.7561970353
