Region,MAE,RMSE,MAPE (%),Accuracy (%)
East of England,4275.152326141701,5309.047512258635,8.1207763676758,91.8792236323242
London,7555.315114748823,9858.545976700028,8.121679020698119,91.87832097930188
Midlands,8380.708447453339,10468.539659907961,8.871714192089707,91.12828580791029
North East and Yorkshire,6130.926677810876,8212.452487539382,7.833666901130833,92.16633309886916
North West,5662.253990466222,7534.455903168087,7.765708000803613,92.23429199919639
South East,5948.171818717543,8086.2352000595365,7.558658510137647,92.44134148986235
South West,3315.191833591997,4652.015568897831,7.516132377795628,92.48386762220437
