Region,Actual,Predicted
North East and Yorkshire,344765.0,335361.16947615147
North East and Yorkshire,348271.0,334709.0307917595
North East and Yorkshire,321947.0,334108.34611690044
North East and Yorkshire,307937.0,334759.05377596617
North East and Yorkshire,354778.0,336591.1593323946
North East and Yorkshire,343888.0,339479.25150072575
North East and Yorkshire,354798.00000000006,343830.6692812443
