Month,Region,Region_unified,Total_Attendances,Type1_Attendances,Type2_Attendances,Other_Attendances,Over_4hr_Waits,Over_12hr_Waits,Emergency_Admissions,NEL_YTD_Growth,A&E near me,Accident,Ambulance,emergency symptoms,Flu Symptoms,hospital waiting times,NHS 111,stroke,flu_positivity,covid_positivity,gp_lrt_infection,nhs111_ari,ed_covid_like,ed_respiratory,gp_ari,MeanTemp,AirFrost,Rainfall,E07b - Under 75 mortality rate from respiratory disease considered preventable,E04b - Under 75 mortality rate from cardiovascular disease considered preventable,E05b - Under 75 mortality rate from cancer considered preventable,C18 - Smoking Prevalence in adults (aged 18 and over) - current smokers (APS),E15 - Estimated dementia diagnosis rate (aged 65 and older),C24a - Cancer screening coverage: breast cancer,D10 - Adjusted antibiotic prescribing in primary care by the NHS,Supporting information - % population aged 65+,Population,Type,Total Attendances,Admitted Attendances,Delays >12hrs (count),12hr %,age_0_4_years,age_0_4_years_delayed,age_15_24_years,age_15_24_years_delayed,age_25_44_years,age_25_44_years_delayed,age_45_64_years,age_45_64_years_delayed,age_5_14_years,age_5_14_years_delayed,age_65_79_years,age_65_79_years_delayed,age_80_years,age_80_years_delayed,age_null_unknown,age_null_unknown_delayed,age_total_attendances,age_total_attendances_delayed,chief_complaint_airway_breathing,chief_complaint_airway_breathing_delayed,chief_complaint_circulation_chest,chief_complaint_circulation_chest_delayed,chief_complaint_environmental,chief_complaint_environmental_delayed,chief_complaint_eye,chief_complaint_eye_delayed,chief_complaint_gastrointestinal,chief_complaint_gastrointestinal_delayed,chief_complaint_general_minor_admin,chief_complaint_general_minor_admin_delayed,chief_complaint_genitourinary,chief_complaint_genitourinary_delayed,chief_complaint_head_and_neck,chief_complaint_head_and_neck_delayed,chief_complaint_neurological,chief_complaint_neurological_delayed,chief_complaint_null_unknown,chief_complaint_null_unknown_delayed,chief_complaint_obgyn,chief_complaint_obgyn_delayed,chief_complaint_psychosocial_behaviour_change,chief_complaint_psychosocial_behaviour_change_delayed,chief_complaint_skin,chief_complaint_skin_delayed,chief_complaint_total_attendances,chief_complaint_total_attendances_delayed,chief_complaint_trauma_musculoskeletal,chief_complaint_trauma_musculoskeletal_delayed,ethnicity_any_asian_background,ethnicity_any_asian_background_delayed,ethnicity_any_black_background,ethnicity_any_black_background_delayed,ethnicity_any_mixed_background,ethnicity_any_mixed_background_delayed,ethnicity_any_other_ethnic_group,ethnicity_any_other_ethnic_group_delayed,ethnicity_any_white_background,ethnicity_any_white_background_delayed,ethnicity_not_stated,ethnicity_not_stated_delayed,ethnicity_null_unknown,ethnicity_null_unknown_delayed,ethnicity_total_attendances,ethnicity_total_attendances_delayed,gender_female,gender_female_delayed,gender_indeterminate,gender_indeterminate_delayed,gender_male,gender_male_delayed,gender_null_unknown,gender_null_unknown_delayed,gender_total_attendances,gender_total_attendances_delayed
2019-04-01,NHS ENGLAND EAST OF ENGLAND (EAST),East of England,190972,144887,0,46085,30153,13,44012,0.0197058823529411,63,77,66,43,17,34,5,61,146.4,1178.6666666666667,5846.179122807018,16.1255,15.362333333333334,9.565666666666663,7.923833333333333,8.8,4.5,35.3,17.935084716728166,30.21294443117293,52.99250706904301,13.383522343842104,67.4,73.98764296425873,0.7491078612282849,18.35746873015873,9039387.0,T1,268775.0,66175.0,27795.0,1.986,0.1075548508844064,0.0662532482023012,0.1052501240909108,0.0523782520418336,0.2206351534722642,0.1464100984794684,0.1927799165933597,0.1920371627565625,0.0982248493788295,0.0385651364902327,0.1472346208445001,0.2333419651270664,0.1282111958711581,0.2708039693014981,0.0,0.0,14146.052631578948,3676.3888888888887,0.0819913717659665,0.1547510408801814,0.0965119882869123,0.1788260778270388,0.002807094783991,0.0041156454070287,0.0164113176924404,0.0040328756819461,0.1199318835920848,0.1405586394261584,0.075629243686112,0.1342391798467542,0.0273691707083788,0.0331724055351048,0.042468118552811,0.0234599100162496,0.0778642483075517,0.0993770427369647,0.1307841923443441,0.0884563928890014,0.0256381869577954,0.0195319844023485,0.0890703463400942,0.0214509019479549,0.0366629721163812,0.01995727617002,14021.42857142857,4615.384615384615,0.1768277213645289,0.0773907571854858,0.0443278056729248,0.0387177109395249,0.0229782255029504,0.0200855335374119,0.0185589174166723,0.0114513360179195,0.0218081414386514,0.0161286258606261,0.7919661525681791,0.839135306052336,0.0480825846242244,0.0464498421947616,0.0523416623667406,0.0285047919356246,13895.277777777776,3540.294117647059,0.5158418227882913,0.5216714884904778,0.0001646799329239,0.0,0.4817711675155904,0.4773807176524512,0.0022416616629575,0.0008740468892271,14146.052631578948,3676.3888888888887
2019-05-01,NHS ENGLAND EAST OF ENGLAND (EAST),East of England,198161,149136,0,49025,23394,3,44947,0.0197058823529411,55,81,75,53,13,32,5,57,127.09677419354838,1113.3870967741937,5846.179122807018,16.1255,14.13467741935484,9.565666666666663,7.923833333333333,11.0,0.5,42.3,17.935084716728166,30.21294443117293,52.99250706904301,13.383522343842104,67.4,73.98764296425873,0.7491078612282849,18.35746873015873,9039387.0,T1,268775.0,66175.0,27795.0,1.986,0.1075548508844064,0.0662532482023012,0.1052501240909108,0.0523782520418336,0.2206351534722642,0.1464100984794684,0.1927799165933597,0.1920371627565625,0.0982248493788295,0.0385651364902327,0.1472346208445001,0.2333419651270664,0.1282111958711581,0.2708039693014981,0.0,0.0,14146.052631578948,3676.3888888888887,0.0819913717659665,0.1547510408801814,0.0965119882869123,0.1788260778270388,0.002807094783991,0.0041156454070287,0.0164113176924404,0.0040328756819461,0.1199318835920848,0.1405586394261584,0.075629243686112,0.1342391798467542,0.0273691707083788,0.0331724055351048,0.042468118552811,0.0234599100162496,0.0778642483075517,0.0993770427369647,0.1307841923443441,0.0884563928890014,0.0256381869577954,0.0195319844023485,0.0890703463400942,0.0214509019479549,0.0366629721163812,0.01995727617002,14021.42857142857,4615.384615384615,0.1768277213645289,0.0773907571854858,0.0443278056729248,0.0387177109395249,0.0229782255029504,0.0200855335374119,0.0185589174166723,0.0114513360179195,0.0218081414386514,0.0161286258606261,0.7919661525681791,0.839135306052336,0.0480825846242244,0.0464498421947616,0.0523416623667406,0.0285047919356246,13895.277777777776,3540.294117647059,0.5158418227882913,0.5216714884904778,0.0001646799329239,0.0,0.4817711675155904,0.4773807176524512,0.0022416616629575,0.0008740468892271,14146.052631578948,3676.3888888888887
2019-06-01,NHS ENGLAND EAST OF ENGLAND (EAST),East of England,193984,147820,0,46164,21775,18,43860,0.0197058823529411,56,83,71,39,12,32,6,63,332.2,2337.8,5846.179122807018,16.1255,67.99317073170731,9.565666666666663,7.923833333333333,14.2,0.0,107.3,17.935084716728166,30.21294443117293,52.99250706904301,13.383522343842104,67.4,73.98764296425873,0.7491078612282849,18.35746873015873,9039387.0,T1,268775.0,66175.0,27795.0,1.986,0.1075548508844064,0.0662532482023012,0.1052501240909108,0.0523782520418336,0.2206351534722642,0.1464100984794684,0.1927799165933597,0.1920371627565625,0.0982248493788295,0.0385651364902327,0.1472346208445001,0.2333419651270664,0.1282111958711581,0.2708039693014981,0.0,0.0,14146.052631578948,3676.3888888888887,0.0819913717659665,0.1547510408801814,0.0965119882869123,0.1788260778270388,0.002807094783991,0.0041156454070287,0.0164113176924404,0.0040328756819461,0.1199318835920848,0.1405586394261584,0.075629243686112,0.1342391798467542,0.0273691707083788,0.0331724055351048,0.042468118552811,0.0234599100162496,0.0778642483075517,0.0993770427369647,0.1307841923443441,0.0884563928890014,0.0256381869577954,0.0195319844023485,0.0890703463400942,0.0214509019479549,0.0366629721163812,0.01995727617002,14021.42857142857,4615.384615384615,0.1768277213645289,0.0773907571854858,0.0443278056729248,0.0387177109395249,0.0229782255029504,0.0200855335374119,0.0185589174166723,0.0114513360179195,0.0218081414386514,0.0161286258606261,0.7919661525681791,0.839135306052336,0.0480825846242244,0.0464498421947616,0.0523416623667406,0.0285047919356246,13895.277777777776,3540.294117647059,0.5158418227882913,0.5216714884904778,0.0001646799329239,0.0,0.4817711675155904,0.4773807176524512,0.0022416616629575,0.0008740468892271,14146.052631578948,3676.3888888888887
2019-07-01,NHS ENGLAND EAST OF ENGLAND (EAST),East of England,208137,157046,0,51091,25475,8,46376,0.0197058823529411,61,84,71,51,11,37,5,71,415.8709677419355,3108.322580645161,5846.179122807018,16.1255,93.8716129032258,9.565666666666663,7.923833333333333,17.5,0.0,70.5,17.935084716728166,30.21294443117293,52.99250706904301,13.383522343842104,67.4,73.98764296425873,0.7491078612282849,18.35746873015873,9039387.0,T1,268775.0,66175.0,27795.0,1.986,0.1075548508844064,0.0662532482023012,0.1052501240909108,0.0523782520418336,0.2206351534722642,0.1464100984794684,0.1927799165933597,0.1920371627565625,0.0982248493788295,0.0385651364902327,0.1472346208445001,0.2333419651270664,0.1282111958711581,0.2708039693014981,0.0,0.0,14146.052631578948,3676.3888888888887,0.0819913717659665,0.1547510408801814,0.0965119882869123,0.1788260778270388,0.002807094783991,0.0041156454070287,0.0164113176924404,0.0040328756819461,0.1199318835920848,0.1405586394261584,0.075629243686112,0.1342391798467542,0.0273691707083788,0.0331724055351048,0.042468118552811,0.0234599100162496,0.0778642483075517,0.0993770427369647,0.1307841923443441,0.0884563928890014,0.0256381869577954,0.0195319844023485,0.0890703463400942,0.0214509019479549,0.0366629721163812,0.01995727617002,14021.42857142857,4615.384615384615,0.1768277213645289,0.0773907571854858,0.0443278056729248,0.0387177109395249,0.0229782255029504,0.0200855335374119,0.0185589174166723,0.0114513360179195,0.0218081414386514,0.0161286258606261,0.7919661525681791,0.839135306052336,0.0480825846242244,0.0464498421947616,0.0523416623667406,0.0285047919356246,13895.277777777776,3540.294117647059,0.5158418227882913,0.5216714884904778,0.0001646799329239,0.0,0.4817711675155904,0.4773807176524512,0.0022416616629575,0.0008740468892271,14146.052631578948,3676.3888888888887
2019-08-01,NHS ENGLAND EAST OF ENGLAND (EAST),East of England,194960,147314,0,47646,24310,8,44891,0.0197058823529411,72,83,62,48,11,38,5,57,256.4516129032258,2242.3548387096776,5846.179122807018,16.1255,44.23467741935484,9.565666666666663,7.923833333333333,17.0,0.0,83.7,17.935084716728166,30.21294443117293,52.99250706904301,13.383522343842104,67.4,73.98764296425873,0.7491078612282849,18.35746873015873,9039387.0,T1,268775.0,66175.0,27795.0,1.986,0.1075548508844064,0.0662532482023012,0.1052501240909108,0.0523782520418336,0.2206351534722642,0.1464100984794684,0.1927799165933597,0.1920371627565625,0.0982248493788295,0.0385651364902327,0.1472346208445001,0.2333419651270664,0.1282111958711581,0.2708039693014981,0.0,0.0,14146.052631578948,3676.3888888888887,0.0819913717659665,0.1547510408801814,0.0965119882869123,0.1788260778270388,0.002807094783991,0.0041156454070287,0.0164113176924404,0.0040328756819461,0.1199318835920848,0.1405586394261584,0.075629243686112,0.1342391798467542,0.0273691707083788,0.0331724055351048,0.042468118552811,0.0234599100162496,0.0778642483075517,0.0993770427369647,0.1307841923443441,0.0884563928890014,0.0256381869577954,0.0195319844023485,0.0890703463400942,0.0214509019479549,0.0366629721163812,0.01995727617002,14021.42857142857,4615.384615384615,0.1768277213645289,0.0773907571854858,0.0443278056729248,0.0387177109395249,0.0229782255029504,0.0200855335374119,0.0185589174166723,0.0114513360179195,0.0218081414386514,0.0161286258606261,0.7919661525681791,0.839135306052336,0.0480825846242244,0.0464498421947616,0.0523416623667406,0.0285047919356246,13895.277777777776,3540.294117647059,0.5158418227882913,0.5216714884904778,0.0001646799329239,0.0,0.4817711675155904,0.4773807176524512,0.0022416616629575,0.0008740468892271,14146.052631578948,3676.3888888888887
2019-09-01,NHS ENGLAND EAST OF ENGLAND (EAST),East of England,195120,148971,0,46149,25841,8,44513,0.0197058823529411,65,86,66,41,18,38,6,51,304.8666666666667,2143.733333333333,5846.179122807018,16.1255,52.22133333333333,9.565666666666663,7.923833333333333,14.1,0.0,113.5,17.935084716728166,30.21294443117293,52.99250706904301,13.383522343842104,67.4,73.98764296425873,0.7491078612282849,18.35746873015873,9039387.0,T1,268775.0,66175.0,27795.0,1.986,0.1075548508844064,0.0662532482023012,0.1052501240909108,0.0523782520418336,0.2206351534722642,0.1464100984794684,0.1927799165933597,0.1920371627565625,0.0982248493788295,0.0385651364902327,0.1472346208445001,0.2333419651270664,0.1282111958711581,0.2708039693014981,0.0,0.0,14146.052631578948,3676.3888888888887,0.0819913717659665,0.1547510408801814,0.0965119882869123,0.1788260778270388,0.002807094783991,0.0041156454070287,0.0164113176924404,0.0040328756819461,0.1199318835920848,0.1405586394261584,0.075629243686112,0.1342391798467542,0.0273691707083788,0.0331724055351048,0.042468118552811,0.0234599100162496,0.0778642483075517,0.0993770427369647,0.1307841923443441,0.0884563928890014,0.0256381869577954,0.0195319844023485,0.0890703463400942,0.0214509019479549,0.0366629721163812,0.01995727617002,14021.42857142857,4615.384615384615,0.1768277213645289,0.0773907571854858,0.0443278056729248,0.0387177109395249,0.0229782255029504,0.0200855335374119,0.0185589174166723,0.0114513360179195,0.0218081414386514,0.0161286258606261,0.7919661525681791,0.839135306052336,0.0480825846242244,0.0464498421947616,0.0523416623667406,0.0285047919356246,13895.277777777776,3540.294117647059,0.5158418227882913,0.5216714884904778,0.0001646799329239,0.0,0.4817711675155904,0.4773807176524512,0.0022416616629575,0.0008740468892271,14146.052631578948,3676.3888888888887
2019-10-01,NHS ENGLAND EAST OF ENGLAND (EAST),East of England,197238,148856,0,48382,28788,10,46949,0.0197058823529411,60,100,66,46,26,37,6,50,383.483870967742,3060.3870967741937,5846.179122807018,16.1255,58.60354838709677,9.565666666666663,7.923833333333333,10.0,0.8,128.0,17.935084716728166,30.21294443117293,52.99250706904301,13.383522343842104,67.4,73.98764296425873,0.7491078612282849,18.35746873015873,9039387.0,T1,268775.0,66175.0,27795.0,1.986,0.1075548508844064,0.0662532482023012,0.1052501240909108,0.0523782520418336,0.2206351534722642,0.1464100984794684,0.1927799165933597,0.1920371627565625,0.0982248493788295,0.0385651364902327,0.1472346208445001,0.2333419651270664,0.1282111958711581,0.2708039693014981,0.0,0.0,14146.052631578948,3676.3888888888887,0.0819913717659665,0.1547510408801814,0.0965119882869123,0.1788260778270388,0.002807094783991,0.0041156454070287,0.0164113176924404,0.0040328756819461,0.1199318835920848,0.1405586394261584,0.075629243686112,0.1342391798467542,0.0273691707083788,0.0331724055351048,0.042468118552811,0.0234599100162496,0.0778642483075517,0.0993770427369647,0.1307841923443441,0.0884563928890014,0.0256381869577954,0.0195319844023485,0.0890703463400942,0.0214509019479549,0.0366629721163812,0.01995727617002,14021.42857142857,4615.384615384615,0.1768277213645289,0.0773907571854858,0.0443278056729248,0.0387177109395249,0.0229782255029504,0.0200855335374119,0.0185589174166723,0.0114513360179195,0.0218081414386514,0.0161286258606261,0.7919661525681791,0.839135306052336,0.0480825846242244,0.0464498421947616,0.0523416623667406,0.0285047919356246,13895.277777777776,3540.294117647059,0.5158418227882913,0.5216714884904778,0.0001646799329239,0.0,0.4817711675155904,0.4773807176524512,0.0022416616629575,0.0008740468892271,14146.052631578948,3676.3888888888887
2019-11-01,NHS ENGLAND EAST OF ENGLAND (EAST),East of England,195595,147129,0,48466,31686,19,46541,0.0197058823529411,58,94,65,50,35,46,6,50,168.13333333333333,1725.2666666666669,5846.179122807018,16.1255,21.712,9.565666666666663,7.923833333333333,6.1,4.8,119.6,17.935084716728166,30.21294443117293,52.99250706904301,13.383522343842104,67.4,73.98764296425873,0.7491078612282849,18.35746873015873,9039387.0,T1,268775.0,66175.0,27795.0,1.986,0.1075548508844064,0.0662532482023012,0.1052501240909108,0.0523782520418336,0.2206351534722642,0.1464100984794684,0.1927799165933597,0.1920371627565625,0.0982248493788295,0.0385651364902327,0.1472346208445001,0.2333419651270664,0.1282111958711581,0.2708039693014981,0.0,0.0,14146.052631578948,3676.3888888888887,0.0819913717659665,0.1547510408801814,0.0965119882869123,0.1788260778270388,0.002807094783991,0.0041156454070287,0.0164113176924404,0.0040328756819461,0.1199318835920848,0.1405586394261584,0.075629243686112,0.1342391798467542,0.0273691707083788,0.0331724055351048,0.042468118552811,0.0234599100162496,0.0778642483075517,0.0993770427369647,0.1307841923443441,0.0884563928890014,0.0256381869577954,0.0195319844023485,0.0890703463400942,0.0214509019479549,0.0366629721163812,0.01995727617002,14021.42857142857,4615.384615384615,0.1768277213645289,0.0773907571854858,0.0443278056729248,0.0387177109395249,0.0229782255029504,0.0200855335374119,0.0185589174166723,0.0114513360179195,0.0218081414386514,0.0161286258606261,0.7919661525681791,0.839135306052336,0.0480825846242244,0.0464498421947616,0.0523416623667406,0.0285047919356246,13895.277777777776,3540.294117647059,0.5158418227882913,0.5216714884904778,0.0001646799329239,0.0,0.4817711675155904,0.4773807176524512,0.0022416616629575,0.0008740468892271,14146.052631578948,3676.3888888888887
2019-12-01,NHS ENGLAND EAST OF ENGLAND (EAST),East of England,202149,149982,0,52167,36650,29,47936,0.0197058823529411,58,91,58,53,55,44,8,47,142.09677419354838,1263.967741935484,5846.179122807018,16.1255,20.80516129032258,9.565666666666663,7.923833333333333,5.6,6.0,105.7,17.935084716728166,30.21294443117293,52.99250706904301,13.383522343842104,67.4,73.98764296425873,0.7491078612282849,18.35746873015873,9039387.0,T1,268775.0,66175.0,27795.0,1.986,0.1075548508844064,0.0662532482023012,0.1052501240909108,0.0523782520418336,0.2206351534722642,0.1464100984794684,0.1927799165933597,0.1920371627565625,0.0982248493788295,0.0385651364902327,0.1472346208445001,0.2333419651270664,0.1282111958711581,0.2708039693014981,0.0,0.0,14146.052631578948,3676.3888888888887,0.0819913717659665,0.1547510408801814,0.0965119882869123,0.1788260778270388,0.002807094783991,0.0041156454070287,0.0164113176924404,0.0040328756819461,0.1199318835920848,0.1405586394261584,0.075629243686112,0.1342391798467542,0.0273691707083788,0.0331724055351048,0.042468118552811,0.0234599100162496,0.0778642483075517,0.0993770427369647,0.1307841923443441,0.0884563928890014,0.0256381869577954,0.0195319844023485,0.0890703463400942,0.0214509019479549,0.0366629721163812,0.01995727617002,14021.42857142857,4615.384615384615,0.1768277213645289,0.0773907571854858,0.0443278056729248,0.0387177109395249,0.0229782255029504,0.0200855335374119,0.0185589174166723,0.0114513360179195,0.0218081414386514,0.0161286258606261,0.7919661525681791,0.839135306052336,0.0480825846242244,0.0464498421947616,0.0523416623667406,0.0285047919356246,13895.277777777776,3540.294117647059,0.5158418227882913,0.5216714884904778,0.0001646799329239,0.0,0.4817711675155904,0.4773807176524512,0.0022416616629575,0.0008740468892271,14146.052631578948,3676.3888888888887
2020-01-01,NHS ENGLAND EAST OF ENGLAND (EAST),East of England,195023,144138,788,50097,32571,57,46814,0.0197058823529411,53,90,63,53,40,46,8,51,118.25806451612904,1054.1935483870968,5846.179122807018,16.1255,14.912419354838711,9.565666666666663,7.923833333333333,6.2,3.9,74.1,17.935084716728166,30.21294443117293,52.99250706904301,13.383522343842104,67.4,73.98764296425873,0.7491078612282849,18.35746873015873,9039387.0,T1,268775.0,66175.0,27795.0,1.986,0.1075548508844064,0.0662532482023012,0.1052501240909108,0.0523782520418336,0.2206351534722642,0.1464100984794684,0.1927799165933597,0.1920371627565625,0.0982248493788295,0.0385651364902327,0.1472346208445001,0.2333419651270664,0.1282111958711581,0.2708039693014981,0.0,0.0,14146.052631578948,3676.3888888888887,0.0819913717659665,0.1547510408801814,0.0965119882869123,0.1788260778270388,0.002807094783991,0.0041156454070287,0.0164113176924404,0.0040328756819461,0.1199318835920848,0.1405586394261584,0.075629243686112,0.1342391798467542,0.0273691707083788,0.0331724055351048,0.042468118552811,0.0234599100162496,0.0778642483075517,0.0993770427369647,0.1307841923443441,0.0884563928890014,0.0256381869577954,0.0195319844023485,0.0890703463400942,0.0214509019479549,0.0366629721163812,0.01995727617002,14021.42857142857,4615.384615384615,0.1768277213645289,0.0773907571854858,0.0443278056729248,0.0387177109395249,0.0229782255029504,0.0200855335374119,0.0185589174166723,0.0114513360179195,0.0218081414386514,0.0161286258606261,0.7919661525681791,0.839135306052336,0.0480825846242244,0.0464498421947616,0.0523416623667406,0.0285047919356246,13895.277777777776,3540.294117647059,0.5158418227882913,0.5216714884904778,0.0001646799329239,0.0,0.4817711675155904,0.4773807176524512,0.0022416616629575,0.0008740468892271,14146.052631578948,3676.3888888888887
